reviewText,reviewDate,authorName
"Only 65 rupees 🥰fast delivery 🥰
eauta video ta sunya but sab apps ma chalxha ki k 
call haru garera sound check garnu baki xha & Kati KO long lasting xha Vanni ma var parxha🙂",14 Nov 2024,Binisha R.Verified Purchase
good product 💯,15 Feb 2024,sardhaVerified Purchase
Thikthikai xa,19 Nov 2024,syangborohan690Verified Purchase
worth it !!,15 Nov 2024,adon R.Verified Purchase
babal layo 💗💯💯,25 Jun 2023,Siddhartha P.Verified Purchase
good sound quality but the volume + - doesnt work i dont what's it for but overall as per the price it is nice. ,24 Oct 2024,Soniya S.Verified Purchase
"Sound quality is so good, I love this. But it only have volume button and don't have turn off/on option. overall it is very good.",12 Nov 2020,Kiah S.Verified Purchase
khai aru ko ta thah bhayena mero chai dmage parechha. Huna sakchha bhane firta linu hos.,20 Jul 2020,Bhola J.Verified Purchase
I love it 😁.the sound quality is grate. We  can also keep this like the picture..,29 Jul 2020,Dipshi T.Verified Purchase
Working well and packaging was done properly. ,30 Nov 2024,s***.Verified Purchase
"Defective Piece Received.
Volume Buttons Not Working Properly",13 Dec 2020,Ravicharan S.Verified Purchase
product looks good but sounds quality 😞😔 ,01 Oct 2024,Đhiŕãj M.Verified Purchase
ek patti nasunine xa return kasari garnu?? ,20 Sep 2024,phurbatamang575Verified Purchase
Excellent  Same As What I Order  ,4 days ago,Sagar G.Verified Purchase
price anusar ko quality xa😊go for it guyz ,31 Aug 2022,Ajay M.Verified Purchase
nice product. at this price its best choice,30 Jul 2021,jitendra B.Verified Purchase
ramro xa . sound pani mazza ko. ,09 Dec 2024,9***4Verified Purchase
Price anusar saman  ekdam thik chha,16 Oct 2020,Tirtha R.Verified Purchase
good quality product in this price ,25 Jan 2024,RajeshVerified Purchase
it's very good airphone,26 Sep 2022,Surendra M.Verified Purchase
good value product 👍,12 Aug 2021,sarozz ..Verified Purchase
No more. EXCLLENT 🤗,30 Jul 2021,Nirajan P.Verified Purchase
Good Quality  ,15 Nov 2024,*******349Verified Purchase
Very Nice product,18 Mar 2020,A***.Verified Purchase
satisfied.... 🙂,19 Feb 2021,K***.Verified Purchase
Nice ,19 Dec 2024,K***.Verified Purchase
Not bad  ,12 Nov 2024,9***4Verified Purchase
Good  8/10,25 Jan 2024,********65Verified Purchase
overall product good but volume botton not working in my product ,11 May 2024,Krishna K.Verified Purchase
Left ko right ma auxa right ko left ma auxa sound,08 Jul 2021,9***1Verified Purchase
